Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
A01,Reference,AG 1,Protein 1,Negative Control,,,
A02,Sample,AG 1,Protein 1,Positive Control,,,
A03,Sample,AG 1,Protein 1,L-Alanine,,,
A04,Sample,AG 1,Protein 1,L-Arginine,,,
A05,Sample,AG 1,Protein 1,L-Asparagine,,,
A06,Sample,AG 1,Protein 1,L-Aspartic Acid,,,
A07,Sample,AG 1,Protein 1,L-Cysteine,,,
A08,Sample,AG 1,Protein 1,L-Glutamic Acid,,,
A09,Sample,AG 1,Protein 1,Adenosine-3'5'-cyclic monophosphate,,,
A10,Sample,AG 1,Protein 1,Adenine,,,
A11,Sample,AG 1,Protein 1,Adenosine,,,
A12,Sample,AG 1,Protein 1,2'-Deoxy Adenosine,,,
B01,Sample,AG 1,Protein 1,L-Glutamine,,,
B02,Sample,AG 1,Protein 1,Glycine,,,
B03,Sample,AG 1,Protein 1,L-Histidine,,,
B04,Sample,AG 1,Protein 1,L-Isoleucine,,,
B05,Sample,AG 1,Protein 1,L-Leucine,,,
B06,Sample,AG 1,Protein 1,L-Lysine,,,
B07,Sample,AG 1,Protein 1,L-Methionine,,,
B08,Sample,AG 1,Protein 1,L-Phenylalanine,,,
B09,Sample,AG 1,Protein 1,Guanosine-3'5'-cyclic monophosphate,,,
B10,Sample,AG 1,Protein 1,Guanine,,,
B11,Sample,AG 1,Protein 1,Guanosine,,,
B12,Sample,AG 1,Protein 1,2'-Deoxy Guanosine,,,
C01,Sample,AG 1,Protein 1,L-Proline,,,
C02,Sample,AG 1,Protein 1,L-Serine,,,
C03,Sample,AG 1,Protein 1,L-Threonine,,,
C04,Sample,AG 1,Protein 1,L-Tryptophan,,,
C05,Sample,AG 1,Protein 1,L-Tyrosine,,,
C06,Sample,AG 1,Protein 1,L-Valine,,,
C07,Sample,AG 1,Protein 1,L-isoleucine +L-Valine,,,
C08,Sample,AG 1,Protein 1,trans-4-Hydroxy L-Proline,,,
C09,Sample,AG 1,Protein 1,5-Amino-Imidazole-4-Carboxamide,,,
