Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
A01,Reference,AG 1,Protein 1,Negative Control,,,
A02,Sample,AG 1,Protein 1,Phosphate,,,
A03,Sample,AG 1,Protein 1,Pyrophosphate,,,
A04,Sample,AG 1,Protein 1,Trimeta-phosphate,,,
A05,Sample,AG 1,Protein 1,Tripoly-phosphate,,,
A06,Sample,AG 1,Protein 1,Triethyl Phosphate,,,
A07,Sample,AG 1,Protein 1,Hypophosphite,,,
A08,Sample,AG 1,Protein 1,Adenosine-2'-monophosphate,,,
A09,Sample,AG 1,Protein 1,Adenosine-3'-monophosphate,,,
A10,Sample,AG 1,Protein 1,Adenosine-5'-monophosphate,,,
A11,Sample,AG 1,Protein 1,Adenosine-2'3'-cyclic monophosphate,,,
A12,Sample,AG 1,Protein 1,Adenosine-3'5'-cyclic monophosphate,,,
B01,Sample,AG 1,Protein 1,Thiophosphate,,,
B02,Sample,AG 1,Protein 1,Dithiophosphate,,,
B03,Sample,AG 1,Protein 1,DL-alpha-Glycerol Phosphate,,,
B04,Sample,AG 1,Protein 1,beta-Glycerol Phosphate,,,
B05,Sample,AG 1,Protein 1,Carbamyl Phosphate,,,
B06,Sample,AG 1,Protein 1,D-2-Phospho-Glyceric Acid,,,
B07,Sample,AG 1,Protein 1,D-3-Phospho-Glyceric Acid,,,
B08,Sample,AG 1,Protein 1,Guanosine-2'-monophosphate,,,
B09,Sample,AG 1,Protein 1,Guanosine-3'-monophosphate,,,
B10,Sample,AG 1,Protein 1,Guanosine-5'-monophosphate,,,
B11,Sample,AG 1,Protein 1,Guanosine-2'3'-cyclic monophosphate,,,
B12,Sample,AG 1,Protein 1,Guanosine-3'5'-cyclic monophosphate,,,
C01,Sample,AG 1,Protein 1,Phosphoenol Pyruvate,,,
C02,Sample,AG 1,Protein 1,Phospho-Glycolic Acid,,,
C03,Sample,AG 1,Protein 1,D-Glucose-1-Phosphate,,,
C04,Sample,AG 1,Protein 1,D-Glucose-6-Phosphate,,,
C05,Sample,AG 1,Protein 1,2-Deoxy-D-Glucose 6-Phosphate,,,
C06,Sample,AG 1,Protein 1,D-Glucosamine-6-Phosphate,,,
C07,Sample,AG 1,Protein 1,6-Phospho-Gluconic Acid,,,
C08,Sample,AG 1,Protein 1,Cytidine-2'-monophosphate,,,
C09,Sample,AG 1,Protein 1,Cytidine-3'-monophosphate,,,
C10,Sample,AG 1,Protein 1,Cytidine-5'-monophosphate,,,
C11,Sample,AG 1,Protein 1,Cytidine-2'3'-cyclic monophosphate,,,
C12,Sample,AG 1,Protein 1,Cytidine-3'5'-cyclic monophosphate,,,
D01,Sample,AG 1,Protein 1,D-Mannose-1-Phosphate,,,
D02,Sample,AG 1,Protein 1,D-Mannose-6-Phosphate,,,
D03,Sample,AG 1,Protein 1,Cysteamine-S-Phosphate,,,
D04,Sample,AG 1,Protein 1,Phospho-L-Arginine,,,
D05,Sample,AG 1,Protein 1,O-Phospho-D-Serine,,,
D06,Sample,AG 1,Protein 1,O-Phospho-L-Serine,,,
D07,Sample,AG 1,Protein 1,O-Phospho-L-Threonine,,,
D08,Sample,AG 1,Protein 1,Uridine-2'-monophosphate,,,
D09,Sample,AG 1,Protein 1,Uridine-3'-monophosphate,,,
D10,Sample,AG 1,Protein 1,Uridine-5'-monophosphate,,,
D11,Sample,AG 1,Protein 1,Uridine-2'3'-cyclic monophosphate,,,
D12,Sample,AG 1,Protein 1,Uridine-3'5'-cyclic monophosphate,,,
E01,Sample,AG 1,Protein 1,O-Phospho-D-Tyrosine,,,
E02,Sample,AG 1,Protein 1,O-Phospho-L-Tyrosine,,,
E03,Sample,AG 1,Protein 1,Phosphocreatine,,,
E04,Sample,AG 1,Protein 1,Phosphoryl Choline,,,
E05,Sample,AG 1,Protein 1,O-Phosphoryl-Ethanolamine,,,
E06,Sample,AG 1,Protein 1,Phosphono Acetic Acid,,,
E07,Sample,AG 1,Protein 1,2-Aminoethyl Phosphonic Acid,,,
E08,Sample,AG 1,Protein 1,Methylene Diphosphonic Acid,,,
E09,Sample,AG 1,Protein 1,Thymidine-3'-monophosphate,,,
E10,Sample,AG 1,Protein 1,Thymidine-5'-monophosphate,,,
E11,Sample,AG 1,Protein 1,Inositol Hexaphosphate,,,
E12,Sample,AG 1,Protein 1,Thymidine 3'5'-cyclic monophosphate,,,
F01,Sample,AG 1,Protein 1,Negative Control,,,
F02,Sample,AG 1,Protein 1,Sulfate,,,
F03,Sample,AG 1,Protein 1,Thiosulfate,,,
F04,Sample,AG 1,Protein 1,Tetrathionate,,,
F05,Sample,AG 1,Protein 1,Thiophosphate,,,
F06,Sample,AG 1,Protein 1,Dithiophosphate,,,
F07,Sample,AG 1,Protein 1,L-Cysteine,,,
F08,Sample,AG 1,Protein 1,D-Cysteine,,,
F09,Sample,AG 1,Protein 1,L-Cysteinyl-Glycine,,,
F10,Sample,AG 1,Protein 1,L-Cysteic Acid,,,
F11,Sample,AG 1,Protein 1,Cysteamine,,,
F12,Sample,AG 1,Protein 1,L-Cysteine Sulfinic Acid,,,
G01,Sample,AG 1,Protein 1,N-Acetyl-L-Cysteine,,,
G02,Sample,AG 1,Protein 1,S-Methyl-L-Cysteine,,,
G03,Sample,AG 1,Protein 1,Cystathionine,,,
G04,Sample,AG 1,Protein 1,Lanthionine,,,
G05,Sample,AG 1,Protein 1,Glutathione,,,
